Unnamed: 0,Unnamed: 1,Unnamed: 2,,,,
Position,Track Name,Artist,Streams,URL,Date,Unique ID
168,HUMBLE.,Kendrick Lamar,1654353,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,01.02.20,01.02.20_168
169,Noticed,Lil Mosey,1653897,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj,01.02.20,01.02.20_169
170,Young Dumb & Broke,Khalid,1645893,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,01.02.20,01.02.20_170
171,i love you,Billie Eilish,1634553,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,01.02.20,01.02.20_171
172,Dancing With A Stranger (with Normani),Sam Smith,1631107,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,01.02.20,01.02.20_172
173,The Less I Know The Better,Tame Impala,1624797,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,01.02.20,01.02.20_173
174,My Type,Saweetie,1623073,https://open.spotify.com/track/5KBARWIxeMGkvUax9VtVC9,01.02.20,01.02.20_174
175,Yes Indeed,Lil Baby,1614322,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,01.02.20,01.02.20_175
176,Congratulations,Post Malone,1613487,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,01.02.20,01.02.20_176
177,a lot,21 Savage,1604751,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,01.02.20,01.02.20_177
178,Whiskey Glasses,Morgan Wallen,1601129,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,01.02.20,01.02.20_178
179,wish you were gay,Billie Eilish,1598644,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,01.02.20,01.02.20_179
180,Love Me,Lil Tecca,1591074,https://open.spotify.com/track/4e0FYxSROat25pH16zMTZI,01.02.20,01.02.20_180
181,UP THE SMOKE (with Offset),Stunna 4 Vegas,1590234,https://open.spotify.com/track/09TZsMHXEtQkdmMJZPLKup,01.02.20,01.02.20_181
182,The Bones,Maren Morris,1584999,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL,01.02.20,01.02.20_182
183,Best Part (feat. Daniel Caesar),H.E.R.,1584440,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,01.02.20,01.02.20_183
184,I Like Me Better,Lauv,1582748,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,01.02.20,01.02.20_184
185,I Like It,Cardi B,1573241,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,01.02.20,01.02.20_185
186,Saint-Tropez,Post Malone,1557642,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq,01.02.20,01.02.20_186
187,Tequila,Dan + Shay,1541403,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y,01.02.20,01.02.20_187
188,all the good girls go to hell,Billie Eilish,1538846,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,01.02.20,01.02.20_188
189,How I Move (feat. Lil Baby),Flipp Dinero,1538764,https://open.spotify.com/track/14X1WxiHXdVRJ99cMCBzOE,01.02.20,01.02.20_189
190,Nice To Meet Ya,Niall Horan,1537875,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H,01.02.20,01.02.20_190
