Position,Track Name,Artist,Streams,URL,Date,Unique ID,Year,Month,Day,Full_Year,Reformatted_Date
129,Eastside (with Halsey & Khalid),benny blanco,5615316,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,01.02.20,01.02.20_129,20,1,2,2020,20200102
130,God's Plan,Drake,5610279,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,01.02.20,01.02.20_130,20,1,2,2020,20200102
131,Turn Me On (feat. Vula),Riton,5587052,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9,01.02.20,01.02.20_131,20,1,2,2020,20200102
132,ocean eyes,Billie Eilish,5572164,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,01.02.20,01.02.20_132,20,1,2,2020,20200102
133,Calma - Remix,Pedro Capó,5540299,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,01.02.20,01.02.20_133,20,1,2,2020,20200102
134,Panini,Lil Nas X,5528812,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,01.02.20,01.02.20_134,20,1,2,2020,20200102
135,Talk (feat. Disclosure),Khalid,5527007,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,01.02.20,01.02.20_135,20,1,2,2020,20200102
136,Otro Trago - Remix,Sech,5497365,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,01.02.20,01.02.20_136,20,1,2,2020,20200102
137,Stuck In A Dream (feat. Gunna),Lil Mosey,5486588,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,01.02.20,01.02.20_137,20,1,2,2020,20200102
138,Don't Stop Me Now - 2011 Mix,Queen,5452916,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,01.02.20,01.02.20_138,20,1,2,2020,20200102
139,Nice To Meet Ya,Niall Horan,5438167,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H,01.02.20,01.02.20_139,20,1,2,2020,20200102
140,Don't Call Me Up,Mabel,5400983,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,01.02.20,01.02.20_140,20,1,2,2020,20200102
141,Closer,The Chainsmokers,5373658,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,01.02.20,01.02.20_141,20,1,2,2020,20200102
142,goosebumps,Travis Scott,5367671,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,01.02.20,01.02.20_142,20,1,2,2020,20200102
